COMMUNAUTÉ DE COMMUNES DU VAL-DE-DRÔME	COMMUNAUTÉ DE COMMUNES DU VAL DE DRÔME	100
EP SECURITÉ FERROVIAIRE	EP SÉCURITÉ FERROVIAIRE	98
SIAEAG GUADELOUPE	SIAEA GUADELOUPE	97
SOCIÉTÉ NATIONALE IMMOBILIÈRE — ÉTABLISSEMENT NORD-EST	SOCIÉTÉ NATIONALE IMMOBILIÈRE — ÉTABLISSEMENT NORD EST	100
SA AÉROPORT DE BORDEAUX MÉRIGNAC	SA AÉROPORT DE BORDEAUX-MÉRIGNAC	100
VILLE DU PERREUX-SUR MARNE	VILLE DU PERREUX-SUR-MARNE	100
VILLE DE DEUIL-LA-BARRE	VILLE DE DEUIL LA BARRE	100
SICTOM ZONE DE LONS-LE-SAUNIER	SICTOM ZONE DE LONS LE SAUNIER	100
COMMUNAUTÉ D'AGGLOMÉRATION TOUR(S) PLUS	COMMUNAUTÉ D'AGGLOMÉRATION TOUR(S)PLUS	99
REIMS-HABITAT CHAMPAGNE-ARDENNE	REIMS HABITAT CHAMPAGNE ARDENNE	100
MÉTROPOLE AIX-MARSEILLE-PROVENCE	MÉTROPOLE AIX-MARSEILLE PROVENCE	100
SOC ÉTUDE MAITRISE, OUVRAGE, AMÉNAGEMENT	SOC ÉTUDE, MAITRISE, OUVRAGE, AMÉNAGEMENT	99
GECT EURORÉGION AQUITAINE EUSKADI	GECT EURORÉGION AQUITAINE-EUSKADI	100
RPA DREAL LANGUEDOC-ROUSSILLON-MIDI-PYRENÉES	RPA DREAL LANGUEDOC-ROUSSILLON-MIDI-PYRÉNÉES	99
GIE LOGEMENT FRANÇAIS EN QUALITÉ DE COORDONNATEUR D'UN GROUPEMENT DE COMMANDES COMPOSÉ DE LOGEMENT FRANÇAIS ET DE SES FILIALES: LOGEMENT FRANCILIEN, COOPÉRATION ET FAMILLE, SOLLAR, LOGIS FAMILIAL, LOGIS FAMILIAL VAROIS ET LOGIS MÉDITERRANÉE	GIE LOGEMENT FRANÇAIS EN QUALITÉ DE COORDONNATEUR D'UN GROUPEMENT DE COMMANDES COMPOSÉ DE LOGEMENT FRANÇAIS ET DE SES FILIALES: LOGEMENT FRANCILIEN, COOPÉRATION & FAMILLE, SOLLAR, LOGIS FAMILIAL, LOGIS FAMILIAL VAROIS ET LOGIS MÉDITERRANÉE	99
COMMUNAUTÉ DE COMMUNES DU PAYS CHARITOIS	COMMUNAUTÉ DE COMMUNES PAYS CHARITOIS	96
LYCÉE EDMOND PERRIER	LYCÉE ÉDMOND PERRIER	97
EDF SA DIRECTION DES ACHATS GROUPE	EDF SA — DIRECTION DES ACHATS GROUPE	97
VENDEE LOGEMENT ESH	VENDÉE LOGEMENT ESH	97
CHRU DE BESANON	CHRU DE BESANÇON	100
CEA SACLAY	CEA/SACLAY	100
UNIVERSITÉ PARIS-SORBONNE	UNIVERSITÉ PARIS SORBONNE	100
COLLECTIVITÉ TERRITORIALE MARTINIQUE	COLLECTIVITE TERRITORIALE MARTINIQUE	99
AGENCE DE L'EAU ARTOIS-PICARDIE	AGENCE DE L'EAU ARTOIS — PICARDIE	97
RTE RÉSEAU DE TRANSPORT D'ÉLECTRICITÉ	RTE RÉSEAU DE TRANSPORT D'ELECTRICITÉ	99
